"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"WLD","FDIFLOW","INWARD","PC_GDP","A","2014",2.0251005627122,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2015",2.898200785822,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2016",2.7040573302466,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2017",2.1619303653783,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2018",1.6870152046376,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2019",2.0064365139027,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2020",1.2392908385984,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2021",1.76134887548,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2022",1.2720555691841,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2005",1.7639809744575,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2006",2.6305198480304,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2007",3.7141049446374,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2008",2.6956807710177,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2009",1.9494558687948,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2010",2.1906496386928,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2011",2.1867597364881,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2012",1.7281889314434,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2013",1.8023026194215,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2014",1.8145742056855,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2015",2.3091929914311,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2016",2.0587658000623,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2017",1.9932036910909,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2018",1.1469870168403,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.5763663909443,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2020",0.85359251725335,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2021",1.8553797631878,
"WLD","FDIFLOW","OUTWARD","PC_GDP","A","2022",1.510974301252,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2005",1133.9174745215,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2006",2024.4759633488,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2007",2289.8699520876,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2008",1790.4824561404,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2009",-448.12447902195,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2010",1019.6026490066,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2011",1800.612216502,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2012",802.39074550129,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2013",573.62272666932,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2014",-133.22276767945,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2015",1054.8197448697,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2016",302.31117991817,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2017",1018.6112050502,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2018",976.02974153192,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2019",3021.560505989,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2020",3510.3361823362,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2021",2798.2734153264,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2022",2103.0181932906,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2005",393.04001988566,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2006",309.0623823271,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2007",554.27789185489,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2008",612.88011695906,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2009",554.93192553487,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2010",42.251655629139,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2011",750.13218310839,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2012",541.10539845758,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2013",131.87309172972,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2014",58.909380390076,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2015",377.09373266778,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2016",43.116222492536,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2017",80.148799458911,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2018",703.78850466187,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2019",1746.4681517967,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2020",2867.6581196581,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2021",1323.2261116367,
"LTU","FDIFLOW","OUTWARD","MLN_USD","A","2022",365.51687874645,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2005",4.3422653972907,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2006",6.7088943642259,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2007",5.7691986709621,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2008",3.7424438808518,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2009",-1.1986168354124,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2010",2.7454061122732,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2011",4.1315312593261,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2012",1.8684844364938,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2013",1.2332127114541,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2014",-0.2742648255349,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2015",2.5456908806934,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2016",0.70227675119733,
